PAD; Name
03612; Ablinger Sonja 
13649; Abraham Gerhard 
02003; Abram Simon 
00041; Achatz Anna Elisabeth 
14854; Achleitner Elke, Dipl.-Ing. 
00577; Achs Matthias 
00010; Adler Friedrich, Dr. 
00014; Adlersflügel Mathias 
00022; Afritsch Josef 
00023; Aichhorn Karl 
00028; Aigner Edmund 
00031; Aigner Josef, Dr. 
00035; Alberer Alois 
00046; Albrecht Anneliese 
00051; Allina Heinrich 
83119; Alm Nikolaus, Mag. 
00043; Altenbacher Franz 
00044; Altenburger Erwin 
00047; Aman Sepp 
51879; Amesbauer Hannes, BA 
00049; Amlacher Michael 
02819; Amon Werner, MBA 
00016; Amtmann Heinrich, Ing. 
00018; Androsch Hannes, Dipl.-Kfm. Dr. 
73000; Androsch Maurice, Ing. 
84060; Angerer Erwin 
00020; Angerer Hans, Dr. 
00024; Anschober Rudolf 
00027; Antoni Dieter, Dr. 
83107; Antoni Konrad 
00030; Apfelbeck Ute 
00032; Appel Karl, Dr. 
00033; Appel Rudolf 
00036; Arthold Josef 
83105; Aslan Aygül Berivan, Mag. 
00037; Aßmann Alwin 
08375; Aspöck Robert, Dr. 
00038; Astl Johann 
35467; Aubauer Gertrude, Mag. 
00039; Auer Jakob 
51507; Auer Josef, Mag. 
14733; Auer Klaus Hubert, Dipl.-Ing. 
00040; Auinger Johann 
00042; Austerlitz Friedrich 
00052; Babanitz Franz 
00053; Babitsch Leopold, Dipl.-Ing. 
83108; Bacher Walter 
00057; Bandion Karl 
00059; Barmüller Thomas, Mag. 
00060; Bartenstein Martin, Dr. 
00061; Bassetti Luis, Dipl.-Kfm. Dr. 
00064; Bauer Alois 
00065; Bauer Franz 
00067; Bauer Franz 
00066; Bauer Franz, Dr. 
08183; Bauer Gerhard, Ing. 
00076; Bauer Hannes, Dipl.-Kfm. Dr. 
00074; Bauer Holger, Dipl.-Kfm. 
00078; Bauer Otto, Dr. 
00080; Bauer Rosemarie 
00081; Bauer Sophie 
00083; Baumgärtel Emil 
01974; Baumgartner Angela 
08208; Baumgartner-Gabitzer Ulrike, Dr. 
00172; Bayer Johanna, Dipl.-Ing. Dr. 
00086; Bayr Anton 
14835; Bayr Petra, MA MLS 
14836; Becher Ruth, Mag. 
00174; Bechinie Robert, Dipl.-Kfm. Dr. 
35468; Belakowitsch Dagmar, Dr. 
00092; Benya Anton 
00099; Berger Johann 
02996; Berger Ricarda 
00101; Bergmann Kurt 
00102; Bergsmann Felix 
00103; Berl Franz, Dipl.-Ing. 
52688; Berlakovich Nikolaus, Dipl.-Ing. 
83124; Bernhard Michael 
00111; Bichl Felix 
00112; Bichler Karl 
00116; Binder Franz 
00118; Binder-Maier Gabriele 
00119; Birbaumer Franz 
00124; Bisjak Paul 
02349; Bißmann Martha, Dipl.-Ing. (FH) 
12928; Blasisker Josef 
00127; Blecha Karl 
14855; Bleckmann Magda, Mag. Dr. 
00128; Blenk Wolfgang, Dr. 
00130; Bleyer Wilhelm 
00133; Blöchl Johann 
00134; Blümel Johann 
00136; Blünegger Anton 
00138; Bock Fritz, Dr. 
00144; Böck-Greissau Josef 
00146; Bögl Hans 
01975; Bogner-Strauß Juliane, Mag. Dr. 
00125; Böhacker Hermann 
00148; Böhler Georg 
14753; Böhm Franz Xaver 
00149; Böhm Johann 
08875; Böhmdorfer Dieter, Dr. 
00151; Bösch Herbert, Mag. 
00152; Bösch Karl 
02867; Bösch Reinhard Eugen, Dr. 
00155; Boschek Anna 
00157; Brachmann Hans 
02820; Brader Alfred, Mag. Dr. 
00164; Brandl Franz 
00167; Brandstätter Jakob 
05438; Brandweiner Lukas 
00168; Braun Helmut 
02833; Brauneder Willi, MMag. Dr. 
00169; Brauneis Walter 
00171; Bregartner Karl 
00069; Breiteneder Johann 
00071; Brennsteiner Anton 
00072; Bretschneider Ludwig August 
00075; Brinek Gertrude, Dr. 
00077; Brinnich Franz 
02813; Brix Otmar 
00079; Broda Christian, Dr. 
00085; Broesigke Tassilo, Dr. 
08239; Brosz Dieter, MSc 
14837; Broukal Josef 
61639; Brückl Hermann, MA 
00087; Bruckmann Gerhart, Dr. 
